State,Office,Party,District,First Name,Last Name,Candidate Status,Twitter handle
AK,S,REP,Sen,MEAD,TREADWELL,CHALLENGER,Mead_Treadwell
AK,S,REP,Sen,JOSEPH W,MILLER,CHALLENGER,JoeWMiller
AK,S,REP,Sen,DAN,"SULLIVAN
",CHALLENGER,DanSullivan2014
AK,S,DEM,Sen,MARK,BEGICH,INCUMBENT,MarkBegich
AL,S,REP,Sen,JEFF,SESSIONS,INCUMBENT,SenatorSessions
AR,S,REP,Sen,THOMAS,COTTON,CHALLENGER,TomCottonAR
AR,S,DEM,Sen,MARK LUNSFORD,PRYOR,INCUMBENT,PryorForSenate
CO,S,REP,Sen,CORY,GARDNER,CHALLENGER,CoryGardnerCO
CO,S,DEM,Sen,MARK E,UDALL,INCUMBENT,MarkUdall2014
GA,S,REP,Sen,JOHN H SR REP,KINGSTON,OPEN,JackKingston4GA
LA,S,DEM,Sen,MARY L,LANDRIEU,INCUMBENT,MaryLandrieu
DE,S,DEM,Sen,CHRISTOPHER A,COONS,INCUMBENT,ChrisCoons
GA,S,REP,Sen,DAVID,PERDUE,OPEN,Perduesenate
GA,S,DEM,Sen,MARY MICHELLE,NUNN,OPEN,MichelleNunnGA
HI,S,DEM,Sen,COLLEEN WAKAKO,HANABUSA,CHALLENGER,ColleenHanabusa
HI,S,DEM,Sen,BRIAN,SCHATZ,INCUMBENT,SchatzforHawaii
IA,S,REP,Sen,JONI K,ERNST,OPEN,joniernst
IA,S,DEM,Sen,BRUCE L,BRALEY,OPEN,TeamBraley
ID,S,DEM,Sen,BRIANE NELSON,MITCHELL,CHALLENGER,nelsmitchell
ID,S,REP,Sen,JAMES E,RISCH,INCUMBENT,SenatorRisch
IL,S,REP,Sen,"JAMES D JIM""""",OBERWEIS,CHALLENGER,JimOberweis
IL,S,DEM,Sen,RICHARD J,DURBIN,INCUMBENT,DickDurbin
KS,S,DEM,Sen,CHADWICK J,TAYLOR,CHALLENGER,Taylor4USSenate
KS,S,REP,Sen,PAT,ROBERTS,INCUMBENT,PatRoberts2014
KY,S,DEM,Sen,ALISON LUNDERGAN,GRIMES,CHALLENGER,AlisonForKY
KY,S,REP,Sen,MITCH,MCCONNELL,INCUMBENT,Team_Mitch
LA,S,REP,Sen,WILLIAM,CASSIDY,CHALLENGER,BillCassidy
MA,S,REP,Sen,BRIAN,HERR,CHALLENGER,HerrForSenate
MA,S,REP,Sen,GABRIEL,GOMEZ,CHALLENGER,GomezForMA
MA,S,REP,Sen,FRANK J JR,ADDIVINOLA,CHALLENGER,MArkeyforMA
MA,S,DEM,Sen,EDWARD JOHN MR,MARKEY,INCUMBENT,Edmarkey
ME,S,DEM,Sen,SHENNA,BELLOWS,CHALLENGER,Bellows4senate
ME,S,REP,Sen,SUSAN M,COLLINS,INCUMBENT,collins4senator
MI,S,DEM,Sen,GARY,PETERS,OPEN,Peters4Michigan
MI,S,REP,Sen,TERRI LYNN,LAND,OPEN,TerriLLand
MN,S,REP,Sen,JAMES J,ABELER,CHALLENGER,jimabeler
MN,S,OTH,Sen,CHRISTOPHER AMES,DAHLBERG,CHALLENGER,dalhberg4senate
MN,S,REP,Sen,JULIANNE,ORTMAN,CHALLENGER,JulianneOrtman
MN,S,REP,Sen,MICHAEL,MCFADDEN,CHALLENGER,MikeForMN
MN,S,DFL,Sen,AL,FRANKEN,INCUMBENT,alfranken
MS,S,DEM,Sen,TRAVIS W,CHILDERS,CHALLENGER,childers4senate
MS,S,REP,Sen,THAD,COCHRAN,INCUMBENT,ThadforMS
MT,S,DEM,Sen,DIRK STANDLEY,ADAMS,CHALLENGER,AdamsForMT
MT,S,DEM,Sen,JOHN E,WALSH,INCUMBENT,JohnWalsh
NC,S,REP,Sen,THOM R,TILLIS,CHALLENGER,ThomTillis
NC,S,DEM,Sen,KAY R,HAGAN,INCUMBENT,kayhagan
NE,S,DEM,Sen,DAVID A,DOMINA,OPEN,DaveDomina
NE,S,REP,Sen,BENJAMIN E,SASSE,OPEN,Sasse4Senate
NH,S,REP,Sen,SCOTT,BROWN,CHALLENGER,SenScottBrown
NH,S,DEM,Sen,JEANNE,SHAHEEN,INCUMBENT,JeanneShaheen
NJ,S,DEM,Sen,CORY A,BOOKER,INCUMBENT,CoryBooker
NM,S,DEM,Sen,TOM,UDALL,INCUMBENT,tomudall
OK,S,REP,Sen,JAMES PAUL,LANKFORD,OPEN,jameslankford
OK,S,REP,Sen,JAMES M,INHOFE,INCUMBENT,jiminhofe
OR,S,REP,Sen,MONICA,WEHBY,CHALLENGER,MonicaForOregon
